% variance explained,predictors,conditions,patient,chanels,nature
-11.80522465130233,envelope,9m,p01,p01_H_13_14,real
16.44333649429436,envelope,9m,p01,p01_OF_6_7,real
-7.01309943818572,envelope,9m,p01,p01_T_1_2,real
19.89591265174574,envelope,9m,p01,p01_T_2_3,real
18.04051025357103,envelope,9m,p01,p01_T_3_4,real
17.02325117264624,envelope,9m,p01,p01_T_4_5,real
22.614718652738592,envelope,9m,p01,p01_T_5_6,real
17.981703082270702,envelope,9m,p01,p01_T_6_7,real
25.5931134728435,envelope,9m,p01,p01_T_7_8,real
-5.94618000038707,envelope,9m,p01,p01_TB_3_4,real
-14.51740534736435,envelope,9m,p01,p01_TB_4_5,real
-9.84008075522035,envelope,9m,p01,p01_TB_5_6,real
-6.03516004970761,envelope,9m,p01,p01_TB_11_12,real
8.29857366727199,envelope,9h,p01,p01_A_3_4,real
9.90344170007579,envelope,9h,p01,p01_A_4_5,real
13.945988018543378,envelope,9h,p01,p01_A_9_10,real
15.0807970128996,envelope,9h,p01,p01_A_10_11,real
-3.04246875182095,envelope,9h,p01,p01_B_1_2,real
-5.915447133001,envelope,9h,p01,p01_B_2_3,real
0.40660367857594,envelope,9h,p01,p01_B_3_4,real
1.29147152669815,envelope,9h,p01,p01_B_4_5,real
2.38494175515088,envelope,9h,p01,p01_B_5_6,real
11.439744099121341,envelope,9h,p01,p01_GPH_7_8,real
16.696358649970268,envelope,9h,p01,p01_H_2_3,real
2.46187770772394,envelope,9h,p01,p01_H_8_9,real
8.95035367079984,envelope,9h,p01,p01_H_9_10,real
-0.48078227058924994,envelope,9h,p01,p01_H_10_11,real
-5.43535358628807,envelope,9h,p01,p01_H_11_12,real
25.59632163091508,envelope,9h,p01,p01_H_12_13,real
1.22405859292509,envelope,9h,p01,p01_H_13_14,real
14.7036683419559,envelope,9h,p01,p01_OF_6_7,real
0.19687840817055,envelope,9h,p01,p01_T_1_2,real
18.1067123221379,envelope,9h,p01,p01_T_2_3,real
16.901709432664138,envelope,9h,p01,p01_T_3_4,real
22.20164397348455,envelope,9h,p01,p01_T_4_5,real
29.759428099384834,envelope,9h,p01,p01_T_5_6,real
16.94937146767439,envelope,9h,p01,p01_T_6_7,real
30.951649564734378,envelope,9h,p01,p01_T_7_8,real
-3.4516226890431,envelope,9h,p01,p01_TB_3_4,real
-0.4994850001273,envelope,9h,p01,p01_TB_4_5,real
1.16993547257275,envelope,9h,p01,p01_TB_5_6,real
6.4226174514341094,envelope,9h,p01,p01_TB_11_12,real
2.33055720214512,envelope,3l,p02,p02_H_5_6,real
14.87373906807456,envelope,3l,p02,p02_H_6_7,real
12.1428640826522,envelope,3l,p02,p02_H_7_8,real
6.28577318337061,envelope,3l,p02,p02_H_8_9,real
11.85148237104468,envelope,3l,p02,p02_H_9_10,real
21.26861230919465,envelope,3l,p02,p02_H_10_11,real
20.64697526357843,envelope,3l,p02,p02_H_11_12,real
24.063240366880482,envelope,3l,p02,p02_H_12_13,real
-1.33563858615361,envelope,3l,p02,p02_H_13_14,real
22.45806920887382,envelope,3l,p02,p02_H_14_15,real
12.33506174476277,envelope,3l,p02,p02_H'_5_6,real
13.652222483022419,envelope,3l,p02,p02_H'_6_7,real
